treatment,Y
heel,19.625538
heel,18.870658
heel,17.543368
heel,15.479161
heel,12.987293
heel,10.285411
heel,7.789951
heel,5.777835
heel,4.002078
heel,2.674638
heel,1.781146
heel,1.01459
heel,0.507295
heel,0.040865
heel,-0.195044
heel,-0.015119
heel,0.118853
heel,0.410596
heel,0.85098
heel,1.662293
heel,2.215992
heel,2.703079
heel,3.339705
heel,5.87139
heel,10.655143
heel,15.477514
heel,19.750229
heel,21.383333
heel,19.414328
heel,17.700092
heel,18.261874
heel,19.542761
heel,20.282373
heel,20.719314
heel,20.646565
heel,19.957698
heel,18.687439
heel,16.515905
heel,13.969251
heel,11.52678
heel,9.408984
heel,7.416627
heel,5.899083
heel,5.165758
heel,5.093608
heel,5.026248
heel,4.70322
heel,4.083957
heel,3.061883
heel,1.730551
heel,0.37527
heel,-0.624052
heel,-0.872086
heel,-0.850382
heel,-0.801433
heel,-0.580493
heel,0.259261
heel,1.841321
heel,3.862717
heel,5.777086
heel,6.24202
heel,6.011349
heel,7.435937
heel,10.550959
heel,15.327077
heel,19.763402
heel,24.62125
heel,28.967462
heel,27.878626
heel,22.601799
heel,18.247354
heel,16.527281
heel,16.189584
heel,16.189434
heel,16.993412
heel,17.839902
heel,17.540674
heel,15.698455
heel,13.169314
heel,10.751692
heel,8.538095
heel,6.44395
heel,4.5685
heel,3.173551
heel,2.296824
heel,1.664988
heel,0.972378
heel,0.104333
heel,-0.82254
heel,-1.209335
heel,-1.105302
heel,-0.812361
heel,0.038919
heel,1.306783
heel,2.340683
heel,2.75532
heel,2.221231
heel,1.865121
heel,3.618425
heel,8.493637
heel,13.639636
heel,18.127603
heel,22.213207
heel,24.684119
heel,23.923102
heel,21.93284
heel,20.72111
heel,20.698956
heel,21.243075
heel,20.804637
heel,19.621946
heel,18.348245
heel,16.682658
heel,14.33524
heel,11.380833
heel,8.388107
heel,5.653593
heel,3.846401
heel,3.129692
heel,3.501369
heel,3.773503
heel,3.682792
heel,3.469785
heel,2.845134
heel,2.213746
heel,1.571582
heel,0.670306
heel,-0.156574
heel,-0.551004
heel,-0.261207
heel,0.752785
heel,1.924847
heel,3.175946
heel,4.335285
heel,4.855154
heel,4.466861
