n,Yheel,Ytoe
1,19.625538,17.92238
2,18.870658,15.011683
3,17.543368,14.096037
4,15.479161,14.356496
5,12.987293,15.083534
6,10.285411,15.16227
7,7.789951,14.180911
8,5.777835,11.938574
9,4.002078,9.002729
10,2.674638,6.039042
11,1.781146,3.334915
12,1.01459,1.008453
13,0.507295,-1.079106
14,0.040865,-3.18358
15,-0.195044,-4.800817
16,-0.015119,-5.060527
17,0.118853,-3.972888
18,0.410596,-2.270628
19,0.85098,-0.860411
20,1.662293,-0.05299
21,2.215992,1.053809
22,2.703079,2.312541
23,3.339705,3.622766
24,5.87139,5.059778
25,10.655143,6.120023
26,15.477514,5.921087
27,19.750229,5.172045
28,21.383333,5.710475
29,19.414328,7.69894
30,17.700092,10.440339
31,18.261874,14.489718
32,19.542761,25.02975
33,20.282373,37.231028
34,20.719314,39.250029
35,20.646565,30.811028
36,19.957698,22.598506
37,18.687439,18.148859
38,16.515905,15.599511
39,13.969251,14.631923
40,11.52678,15.289505
41,9.408984,15.838863
42,7.416627,15.463444
43,5.899083,14.073883
44,5.165758,11.951297
45,5.093608,9.620344
46,5.026248,7.467821
47,4.70322,5.288652
48,4.083957,3.254382
49,3.061883,1.921404
50,1.730551,0.773591
51,0.37527,-0.537832
52,-0.624052,-1.722318
53,-0.872086,-2.710863
54,-0.850382,-3.117866
55,-0.801433,-3.39015
56,-0.580493,-3.335963
57,0.259261,-2.552642
58,1.841321,-0.968486
59,3.862717,1.611998
60,5.777086,4.659211
61,6.24202,7.56901
62,6.011349,9.480984
63,7.435937,9.662407
64,10.550959,8.675958
65,15.327077,9.06949
66,19.763402,11.590847
67,24.62125,15.365996
68,28.967462,18.873353
69,27.878626,23.392305
70,22.601799,29.054132
71,18.247354,27.740014
72,16.527281,22.477857
73,16.189584,18.348694
74,16.189434,16.145425
75,16.993412,14.761104
76,17.839902,13.821358
77,17.540674,13.710738
78,15.698455,14.728472
79,13.169314,16.025225
80,10.751692,16.002473
81,8.538095,13.736335
82,6.44395,10.571167
83,4.5685,7.37681
84,3.173551,4.376449
85,2.296824,1.660048
86,1.664988,-0.862656
87,0.972378,-3.18328
88,0.104333,-4.746779
89,-0.82254,-5.413193
90,-1.209335,-4.960385
91,-1.105302,-3.993695
92,-0.812361,-2.681374
93,0.038919,-0.925974
94,1.306783,1.246907
95,2.340683,3.281626
96,2.75532,5.146598
97,2.221231,6.658304
98,1.865121,7.423513
99,3.618425,7.830367
100,8.493637,10.278975
101,13.639636,15.287859
102,18.127603,22.032982
103,22.213207,29.240943
104,24.684119,31.284494
105,23.923102,27.711573
106,21.93284,24.567063
107,20.72111,21.511467
108,20.698956,18.875598
109,21.243075,16.384628
110,20.804637,14.371614
111,19.621946,13.627362
112,18.348245,13.754597
113,16.682658,13.635295
114,14.33524,13.000615
115,11.380833,11.65162
116,8.388107,10.154434
117,5.653593,8.606353
118,3.846401,7.036567
119,3.129692,5.291796
120,3.501369,3.414998
121,3.773503,1.508862
122,3.682792,-0.419877
123,3.469785,-2.466421
124,2.845134,-3.969296
125,2.213746,-4.774022
126,1.571582,-4.673731
127,0.670306,-3.972888
128,-0.156574,-2.156416
129,-0.551004,0.5772
130,-0.261207,3.609594
131,0.752785,6.410419
132,1.924847,8.858878
133,3.175946,9.751621
134,4.335285,7.769294
135,4.855154,5.250033
136,4.466861,5.682783
137,5.380411,9.156758
138,7.830816,14.684913
139,12.487033,21.021236
140,17.431252,26.512567
141,22.302871,29.385243
142,25.926086,28.168423
143,25.88103,24.062013
144,21.730012,20.400477
145,19.099383,18.229691
146,19.261795,16.685053
147,20.611987,15.425722
148,21.02423,14.605278
149,20.155287,14.150823
150,18.473983,13.831537
151,16.155005,12.901821
152,13.86881,10.901979
153,11.546988,8.565338
154,9.091943,6.086493
155,6.907536,3.704646
156,5.228477,1.595083
157,4.025878,-0.207469
158,3.310216,-1.659599
159,2.629432,-2.89483
160,1.831891,-3.214565
161,0.759221,-3.142266
162,-0.314346,-2.820734
163,-0.809966,-1.686543
164,-1.017285,-0.164358
165,-0.902773,1.093775
166,-0.568218,2.08696
167,0.146695,3.385959
168,1.415307,4.830754
169,3.147804,5.631888
170,4.198918,4.997508
171,4.159999,5.382806
172,4.008365,9.02638
173,6.446794,14.047987
174,11.779454,18.708994
175,16.887133,26.713748
176,21.467458,34.723742
177,25.134982,36.168687
178,26.314229,28.927645
179,24.49147,20.11547
180,21.955144,15.053147
181,20.227287,13.040432
182,19.320024,12.009376
183,18.0812,11.491753
184,16.717386,11.932287
185,15.718962,12.551848
186,14.450799,12.701238
187,12.956457,12.259955
188,11.334729,11.172616
189,9.532178,9.435928
190,7.774682,7.207811
191,6.177654,4.675078
192,5.108128,2.217489
193,4.493655,-0.265398
194,3.905379,-2.499502
195,3.12071,-3.870052
196,2.079027,-4.064348
197,1.049019,-3.179388
198,0.233814,-2.041904
199,-0.0961,-1.079555
200,-0.237706,0.161514
201,-0.622855,2.175276
202,-0.955313,4.903204
203,-0.72599,7.298672
204,0.568967,9.058563
205,2.246977,9.854607
206,3.947591,8.66548
207,4.865482,6.100115
208,4.220473,5.502258
209,3.082839,7.039561
210,5.56857,9.889934
211,10.065968,13.750855
212,13.929583,19.361338
213,18.012942,26.413323
214,22.939347,33.875456
215,26.384284,33.479529
216,26.255551,26.416616
217,23.314318,19.82178
218,20.880379,16.211887
219,20.501816,14.122233
220,20.626956,13.044324
221,20.844603,12.499457
222,21.242925,13.030403
223,20.710782,14.093941
224,18.506765,14.02718
225,15.513589,12.000994
226,12.83012,8.891061
227,10.220446,6.173013
228,7.724237,3.909271
229,5.741461,2.066453
230,4.216582,0.403112
231,3.238965,-1.165776
232,2.655927,-2.891387
233,2.146536,-3.895649
234,1.507964,-3.898493
235,0.497715,-3.464396
236,-0.573907,-2.637665
237,-1.020278,-0.94753
238,-1.407074,1.01474
239,-1.228046,3.453319
240,-0.814307,5.994435
241,0.079185,7.581584
242,1.598376,8.189171
243,2.883604,7.821834
244,3.733686,7.132368
245,3.514691,8.623268
246,2.509681,11.476634
247,2.630031,14.08017
248,6.06868,18.565742
249,11.393856,25.599316
250,15.769557,34.047598
251,20.872745,35.147959
252,26.03506,27.909013
253,27.651548,21.468356
254,25.781337,15.92673
255,23.203997,10.962154
256,21.171973,8.498727
257,20.097357,8.590636
258,19.194435,10.046808
259,18.309475,11.242671
260,17.067658,11.345357
261,15.314204,10.350227
262,13.239818,8.931926
263,11.111693,7.397168
264,8.794512,5.608088
265,6.884783,3.566184
266,5.768704,1.758393
267,5.349276,-0.224832
268,5.252577,-2.182012
269,5.019063,-3.859125
270,4.399052,-4.583918
271,3.331173,-4.393514
272,1.848656,-3.148852
273,0.388143,-0.521216
274,-0.725092,2.699187
275,-1.336271,5.696554
276,-1.660048,7.626191
277,-1.538351,8.706195
278,-0.842598,8.220306
279,0.558339,6.100863
280,2.368674,5.354366
281,3.993096,7.163054
282,4.339326,10.510843
283,3.702551,15.701748
284,4.888385,22.101839
285,8.624914,29.471913
286,12.846136,32.249237
287,17.208814,28.378736
288,21.360281,22.787862
289,25.285269,19.70188
290,26.840984,18.136585
291,24.535927,16.798218
292,20.73084,15.452965
293,18.250498,14.608871
294,17.238602,13.781092
295,16.82127,12.440929
296,16.675473,10.919343
297,16.799116,9.436826
298,16.647781,7.651788
299,15.749199,5.49178
300,14.18585,3.111879
301,11.864627,1.017135
302,9.250014,-0.611179
303,6.927893,-2.227817
304,5.256768,-3.626808
305,4.071982,-4.1838
306,2.999313,-3.704347
307,1.723516,-3.037783
308,0.393681,-2.12573
309,-0.685874,-0.458796
310,-1.036295,1.417552
311,-1.058898,3.143313
312,-0.791255,4.952601
313,0.099393,5.838159
314,1.13479,5.514832
315,2.024091,5.548063
316,2.761607,8.522827
317,2.9092,13.121564
318,2.504741,17.866247
319,3.41919,24.299569
320,7.637867,30.033395
321,13.674364,30.995894
322,19.04774,27.510242
323,23.109094,23.339765
324,24.483387,21.489313
325,23.005959,20.217408
326,20.929926,18.058148
327,19.494561,16.08061
