pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
383.478723,801.836898,649.010638,943.334225,737.521277,409.109626,934.968085,56.810160,1499.416968,813.387701,626.059567,856.703209
434.542553,822.050802,754.542553,949.109626,747.734043,435.098930,941.776596,71.248663,1510.287234,746.970588,678.045126,879.804813
533.265957,917.344920,890.712766,949.109626,761.351064,446.649733,951.989362,94.350267,1459.223404,712.318182,799.344765,876.917112
NaN,NaN,890.712766,937.558824,761.351064,443.762032,945.180851,103.013369,1449.010638,715.205882,806.276173,882.692513
672.840426,940.446524,1026.882979,934.671123,768.159574,458.200535,962.202128,111.676471,1367.308511,709.430481,910.247292,874.029412
802.202128,951.997326,1146.031915,928.895722,829.436170,475.526738,992.840426,129.002674,1214.117021,767.184492,1045.409747,868.254011
907.734043,949.109626,1271.989362,911.569519,911.138298,489.965241,1020.074468,146.328877,1047.308511,816.275401,1173.640794,853.815508
1054.117021,940.446524,1384.329787,862.478610,1009.861702,492.852941,1054.117021,154.991979,866.882979,845.152406,1270.680505,839.377005
1193.691489,931.783422,1452.414894,830.713904,1081.351064,466.863636,1037.095745,117.451872,666.031915,856.703209,1371.185921,810.500000
1316.244681,946.221925,1523.904255,764.296791,1135.819149,443.762032,1023.478723,79.911765,512.840426,810.500000,1437.034296,772.959893
1459.223404,940.446524,1581.776596,689.216578,1163.053191,423.548128,1016.670213,62.585561,461.776596,741.195187,1485.554152,735.419786
1540.925532,871.141711,1578.372340,605.473262,1135.819149,435.098930,1023.478723,56.810160,444.755319,735.419786,1516.745487,680.553476
1581.776596,801.836898,1544.329787,527.505348,1077.946809,466.863636,999.648936,85.687166,465.180851,781.622995,1516.745487,631.462567
1561.351064,781.622995,1479.648936,495.740642,1030.287234,513.066845,989.436170,108.788770,543.478723,876.917112,1468.225632,593.922460
1493.265957,775.847594,1414.968085,501.516043,945.180851,518.842246,979.223404,143.441176,655.819149,914.457219,1378.117329,579.483957
1333.265957,836.489305,1350.287234,544.831551,856.670213,504.403743,986.031915,166.542781,802.202128,920.232620,1288.009025,619.911765
1156.244681,908.681818,1275.393617,617.024064,778.372340,458.200535,962.202128,152.104278,914.542553,923.120321,1190.969314,683.441176
917.946809,949.109626,1176.670213,729.644385,737.521277,417.772727,958.797872,111.676471,1081.351064,911.569519,1073.135379,729.644385
713.691489,966.435829,1060.925532,807.612299,737.521277,409.109626,938.372340,74.136364,1183.478723,891.355615,955.301444,807.612299
526.457447,934.671123,904.329787,891.355615,737.521277,391.783422,938.372340,48.147059,1289.010638,902.906417,806.276173,850.927807
417.521277,848.040107,717.095745,940.446524,747.734043,394.671123,958.797872,45.259358,1408.159574,902.906417,681.510830,865.366310
386.882979,798.949198,655.819149,949.109626,754.542553,400.446524,941.776596,65.473262,1520.500000,833.601604,636.456679,865.366310
417.521277,824.938503,757.946809,954.885027,761.351064,417.772727,951.989362,82.799465,1561.351064,746.970588,681.510830,879.804813
526.457447,911.569519,894.117021,946.221925,771.563830,435.098930,962.202128,77.024064,1496.670213,732.532086,785.481949,888.467914
669.436170,957.772727,1009.861702,937.558824,798.797872,443.762032,979.223404,111.676471,1401.351064,715.205882,937.972924,882.692513
802.202128,960.660428,1129.010638,937.558824,849.861702,475.526738,1003.053191,123.227273,1251.563830,755.633690,1048.875451,876.917112
931.563830,957.772727,1278.797872,926.008021,928.159574,489.965241,1057.521277,146.328877,1135.819149,810.500000,1184.037906,879.804813
1060.925532,957.772727,1384.329787,876.917112,1037.095745,515.954545,1060.925532,146.328877,900.925532,842.264706,1301.871841,862.478610
1200.500000,954.885027,1500.074468,836.489305,1111.989362,475.526738,1064.329787,137.665775,723.904255,856.703209,1388.514440,833.601604
1329.861702,951.997326,1551.138298,778.735294,1166.457447,420.660428,1084.755319,82.799465,570.712766,816.275401,1450.897112,796.061497
1479.648936,957.772727,1585.180851,697.879679,1200.500000,417.772727,1091.563830,48.147059,482.202128,761.409091,1527.142599,741.195187
1585.180851,902.906417,1626.031915,602.585561,1156.244681,420.660428,1091.563830,42.371658,471.989362,732.532086,1561.799639,677.665775
1632.840426,813.387701,1585.180851,530.393048,1111.989362,449.537433,1074.542553,68.360963,461.776596,781.622995,1547.936823,617.024064
1612.414894,775.847594,1513.691489,492.852941,1060.925532,504.403743,1040.500000,100.125668,560.500000,868.254011,1506.348375,582.371658
1527.308511,793.173797,1435.393617,498.628342,989.436170,524.617647,1033.691489,149.216578,676.244681,908.681818,1419.705776,579.483957
1370.712766,822.050802,1391.138298,527.505348,873.691489,501.516043,1037.095745,160.767380,812.414894,923.120321,1326.131769,608.360963
1207.308511,885.580214,1312.840426,591.034759,815.819149,455.312834,1006.457447,149.216578,928.159574,914.457219,1225.626354,663.227273
962.202128,960.660428,1214.117021,720.981283,761.351064,406.221925,986.031915,114.564171,1067.734043,926.008021,1111.258123,718.093583
747.734043,963.548128,1067.734043,807.612299,740.925532,388.895722,951.989362,71.248663,1176.670213,894.243316,972.629964,781.622995
557.095745,917.344920,931.563830,865.366310,737.521277,380.232620,955.393617,51.034759,1302.627660,900.018717,827.070397,833.601604
441.351064,830.713904,768.159574,908.681818,764.755319,386.008021,951.989362,36.596257,1408.159574,894.243316,705.770758,850.927807
417.521277,790.286096,683.053191,934.671123,771.563830,397.558824,945.180851,45.259358,1527.308511,845.152406,671.113718,845.152406
454.968085,816.275401,757.946809,954.885027,795.393617,409.109626,958.797872,68.360963,1564.755319,761.409091,702.305054,865.366310
529.861702,888.467914,883.904255,937.558824,805.606383,432.211230,965.606383,108.788770,1534.117021,703.655080,799.344765,874.029412
659.223404,931.783422,1013.265957,923.120321,819.223404,440.874332,986.031915,105.901070,1452.414894,689.216578,920.644404,871.141711
812.414894,951.997326,1135.819149,920.232620,873.691489,458.200535,1037.095745,123.227273,1329.861702,723.868984,1041.944043,859.590909
928.159574,943.334225,1254.968085,920.232620,951.989362,481.302139,1060.925532,149.216578,1190.287234,770.072193,1180.572202,862.478610
