treatment,frame.rate,u,down,next.down,up
heel,29.97,3.57632,1,22,12
heel,29.97,3.57632,22,42,32
heel,29.97,3.57632,42,62,52
heel,29.97,3.57632,62,82,71
heel,29.97,3.57632,82,102,91
heel,29.97,3.57632,102,122,111
heel,29.97,3.57632,122,142,131
heel,29.97,3.57632,142,162,151
heel,29.97,3.57632,162,182,171
heel,29.97,3.57632,182,203,192
heel,29.97,3.57632,203,223,212
heel,29.97,3.57632,223,243,233
heel,29.97,3.57632,243,263,252
heel,29.97,3.57632,263,283,272
heel,29.97,3.57632,283,303,292
heel,29.97,3.57632,303,323,312
heel,29.97,3.57632,323,344,332
toe,30,3.57632,2,21,9
toe,30,3.57632,21,40,28
toe,30,3.57632,40,60,48
toe,30,3.57632,60,79,68
toe,30,3.57632,79,98,87
toe,30,3.57632,98,118,106
toe,30,3.57632,118,137,126
toe,30,3.57632,137,157,145
toe,30,3.57632,157,176,164
toe,30,3.57632,176,196,184
toe,30,3.57632,196,215,203
toe,30,3.57632,215,234,223
toe,30,3.57632,234,253,242
toe,30,3.57632,253,272,261
toe,30,3.57632,272,292,280
toe,30,3.57632,292,310,299
toe,30,3.57632,310,329,317
toe,30,3.57632,329,349,337
toe,30,3.57632,349,368,356
toe,30,3.57632,368,387,375
toe,30,3.57632,387,406,395
