pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
546.882979,914.457219,839.648936,946.221925,805.606383,495.740642,1006.457447,160.767380,1391.138298,845.152406,770.473418,892.699037
642.202128,954.885027,934.968085,951.997326,812.414894,530.393048,1003.053191,169.430481,1367.308511,810.500000,852.132111,889.809791
744.329787,960.660428,1016.670213,949.109626,843.053191,550.606952,1020.074468,189.644385,1299.223404,787.398396,940.595694,889.809791
826.031915,957.772727,1132.414894,951.997326,880.500000,556.382353,1020.074468,183.868984,1210.712766,778.735294,1035.864168,884.031300
931.563830,957.772727,1234.542553,911.569519,934.968085,567.933155,1060.925532,195.419786,1118.797872,807.612299,1131.132642,878.252809
1040.500000,951.997326,1329.861702,888.467914,1026.882979,591.034759,1084.755319,178.093583,900.925532,848.040107,1209.388889,866.695827
1156.244681,966.435829,1377.521277,853.815508,1071.138298,567.933155,1084.755319,163.655080,774.968085,868.254011,1287.645136,843.581862
1234.542553,966.435829,1431.989362,793.173797,1125.606383,530.393048,1064.329787,152.104278,672.840426,845.152406,1338.681818,811.800161
1353.691489,963.548128,1476.244681,729.644385,1132.414894,507.291444,1040.500000,134.778075,597.946809,824.938503,1386.316055,771.350722
1428.585106,923.120321,1469.436170,663.227273,1108.585106,504.403743,1023.478723,134.778075,591.138298,824.938503,1410.133174,742.458266
1449.010638,885.580214,1452.414894,619.911765,1071.138298,536.168449,1030.287234,140.553476,618.372340,853.815508,1406.730728,702.008828
1438.797872,848.040107,1391.138298,593.922460,1006.457447,565.045455,1030.287234,149.216578,710.287234,888.467914,1359.096491,678.894864
1329.861702,874.029412,1346.882979,614.136364,934.968085,570.820856,1023.478723,186.756684,819.223404,902.906417,1287.645136,676.005618
1193.691489,902.906417,1295.819149,645.901070,863.478723,550.606952,1013.265957,186.756684,904.329787,908.681818,1192.376661,696.230337
1020.074468,931.783422,1254.968085,755.633690,822.627660,507.291444,1013.265957,152.104278,1023.478723,905.794118,1110.717969,745.347512
839.648936,946.221925,1118.797872,813.387701,795.393617,478.414439,999.648936,146.328877,1101.776596,900.018717,1018.851940,785.796950
679.648936,926.008021,1006.457447,865.366310,785.180851,461.088235,1006.457447,120.339572,1210.712766,876.917112,892.961457,823.357143
570.712766,897.131016,866.882979,891.355615,791.989362,452.425134,982.627660,100.125668,1282.202128,876.917112,784.083200,843.581862
536.670213,882.692513,781.776596,894.243316,791.989362,458.200535,982.627660,105.901070,1367.308511,853.815508,733.046518,840.692616
529.861702,882.692513,829.436170,900.018717,802.202128,463.975936,982.627660,149.216578,1435.393617,790.286096,750.058745,843.581862
631.989362,928.895722,924.755319,894.243316,798.797872,475.526738,992.840426,163.655080,1414.968085,744.082888,848.729665,846.471108
723.904255,917.344920,1030.287234,894.243316,829.436170,515.954545,996.244681,189.644385,1350.287234,738.307487,933.790803,840.692616
815.819149,928.895722,1108.585106,900.018717,866.882979,524.617647,1020.074468,180.981283,1254.968085,741.195187,1029.059277,840.692616
928.159574,937.558824,1224.329787,882.692513,941.776596,550.606952,1030.287234,178.093583,1125.606383,767.184492,1127.730197,837.803371
1037.095745,931.783422,1312.840426,865.366310,1013.265957,579.483957,1057.521277,178.093583,962.202128,822.050802,1216.193780,829.135634
1132.414894,923.120321,1397.946809,822.050802,1094.968085,565.045455,1037.095745,149.216578,809.010638,839.377005,1297.852472,817.578652
1251.563830,934.671123,1442.202128,807.612299,1129.010638,521.729947,1047.308511,103.013369,686.457447,810.500000,1352.291600,791.575441
1350.287234,937.558824,1479.648936,700.767380,1146.031915,481.302139,1013.265957,105.901070,597.946809,790.286096,1393.120946,762.682986
1438.797872,908.681818,1493.265957,645.901070,1108.585106,495.740642,1013.265957,105.901070,577.521277,787.398396,1420.340510,725.122793
1479.648936,856.703209,1459.223404,602.585561,1094.968085,515.954545,989.436170,131.890374,577.521277,822.050802,1416.938065,684.673355
1459.223404,822.050802,1421.776596,582.371658,1006.457447,547.719251,989.436170,126.114973,649.010638,874.029412,1389.718501,661.559390
1384.329787,833.601604,1367.308511,576.596257,951.989362,565.045455,989.436170,126.114973,761.351064,879.804813,1318.267145,650.002408
1220.925532,874.029412,1302.627660,614.136364,870.287234,553.494652,1006.457447,163.655080,849.861702,882.692513,1229.803562,673.116372
1064.329787,934.671123,1227.734043,694.991979,822.627660,527.505348,1003.053191,154.991979,972.414894,882.692513,1127.730197,719.344302
873.691489,937.558824,1135.819149,787.398396,768.159574,484.189840,992.840426,134.778075,1043.904255,891.355615,1022.254386,774.239968
703.478723,934.671123,1043.904255,839.377005,757.946809,455.312834,972.414894,129.002674,1139.223404,888.467914,913.376130,811.800161
577.521277,908.681818,907.734043,868.254011,757.946809,435.098930,965.606383,111.676471,1214.117021,888.467914,787.485646,834.914125
492.414894,865.366310,781.776596,888.467914,774.968085,440.874332,958.797872,123.227273,1323.053191,885.580214,702.424508,834.914125
499.223404,862.478610,768.159574,885.580214,774.968085,452.425134,965.606383,131.890374,1377.521277,842.264706,702.424508,837.803371
574.117021,908.681818,836.244681,900.018717,788.585106,472.639037,938.372340,172.318182,1401.351064,784.510695,767.070973,840.692616
676.244681,926.008021,945.180851,891.355615,795.393617,492.852941,951.989362,189.644385,1336.670213,746.970588,858.937002,837.803371
768.159574,923.120321,1043.904255,894.243316,832.840426,521.729947,962.202128,186.756684,1261.776596,749.858289,947.400585,843.581862
860.074468,926.008021,1139.223404,894.243316,873.691489,518.842246,1009.861702,186.756684,1142.627660,770.072193,1039.266614,843.581862
958.797872,937.558824,1237.946809,868.254011,962.202128,556.382353,1043.904255,180.981283,1006.457447,810.500000,1141.339979,832.024880
1067.734043,928.895722,1312.840426,842.264706,1026.882979,550.606952,1043.904255,175.205882,856.670213,824.938503,1226.401116,826.246388
1176.670213,931.783422,1367.308511,824.938503,1084.755319,524.617647,1047.308511,137.665775,740.925532,845.152406,1297.852472,803.132424
1289.010638,940.446524,1459.223404,764.296791,1105.180851,492.852941,1040.500000,123.227273,618.372340,813.387701,1345.486709,780.018459
1380.925532,911.569519,1472.840426,677.665775,1125.606383,469.751337,1033.691489,105.901070,570.712766,798.949198,1386.316055,739.569021
1452.414894,868.254011,1445.606383,622.799465,1098.372340,487.077540,1006.457447,111.676471,580.925532,816.275401,1410.133174,704.898074
1469.436170,830.713904,1408.159574,602.585561,1040.500000,518.842246,999.648936,123.227273,621.776596,859.590909,1396.523392,673.116372
1431.989362,813.387701,1377.521277,567.933155,999.648936,547.719251,1003.053191,123.227273,720.500000,885.580214,1352.291600,652.891653
1316.244681,845.152406,1312.840426,596.810160,904.329787,550.606952,1006.457447,172.318182,795.393617,891.355615,1257.023126,667.337881
1152.840426,911.569519,1261.776596,640.125668,839.648936,530.393048,1003.053191,157.879679,897.521277,900.018717,1185.571770,693.341091
986.031915,934.671123,1214.117021,749.858289,791.989362,481.302139,1016.670213,154.991979,986.031915,888.467914,1103.913078,730.901284
809.010638,934.671123,1105.180851,819.163102,785.180851,458.200535,975.819149,137.665775,1108.585106,897.131016,974.620149,780.018459
662.627660,917.344920,992.840426,833.601604,778.372340,426.435829,992.840426,129.002674,1173.265957,885.580214,879.351675,820.467897
536.670213,882.692513,853.265957,862.478610,791.989362,449.537433,975.819149,131.890374,1299.223404,876.917112,750.058745,832.024880
533.265957,853.815508,761.351064,865.366310,802.202128,443.762032,975.819149,140.553476,1384.329787,853.815508,722.839181,826.246388
536.670213,868.254011,822.627660,879.804813,805.606383,455.312834,969.010638,154.991979,1391.138298,807.612299,729.644072,823.357143
611.563830,902.906417,907.734043,882.692513,815.819149,472.639037,972.414894,169.430481,1391.138298,770.072193,824.912547,832.024880
730.712766,923.120321,1006.457447,874.029412,832.840426,492.852941,975.819149,160.767380,1312.840426,744.082888,923.583466,832.024880
822.627660,905.794118,1105.180851,856.703209,873.691489,527.505348,999.648936,172.318182,1210.712766,741.195187,1025.656831,832.024880
941.776596,908.681818,1200.500000,853.815508,945.180851,544.831551,1030.287234,192.532086,1081.351064,772.959893,1114.120415,826.246388
1016.670213,917.344920,1292.414894,865.366310,999.648936,553.494652,1057.521277,183.868984,958.797872,804.724599,1205.986443,817.578652
1156.244681,914.457219,1367.308511,822.050802,1057.521277,541.943850,1077.946809,146.328877,812.414894,798.949198,1280.840245,800.243178
1251.563830,911.569519,1421.776596,778.735294,1108.585106,504.403743,1047.308511,123.227273,689.861702,824.938503,1335.279373,780.018459
1326.457447,934.671123,1462.627660,703.655080,1125.606383,478.414439,1037.095745,105.901070,604.755319,787.398396,1382.913610,754.015249
1421.776596,897.131016,1479.648936,651.676471,1125.606383,484.189840,1013.265957,105.901070,567.308511,790.286096,1410.133174,725.122793
1472.840426,853.815508,1462.627660,599.697861,1088.159574,501.516043,1009.861702,129.002674,597.946809,827.826203,1420.340510,693.341091
1462.627660,813.387701,1421.776596,593.922460,1047.308511,533.280749,1023.478723,149.216578,669.436170,862.478610,1393.120946,658.670144
1384.329787,839.377005,1363.904255,582.371658,982.627660,556.382353,1020.074468,180.981283,778.372340,882.692513,1318.267145,652.891653
1289.010638,856.703209,1319.648936,602.585561,907.734043,553.494652,1020.074468,169.430481,860.074468,882.692513,1240.010898,670.227127
1118.797872,900.018717,1289.010638,669.002674,846.457447,515.954545,1030.287234,163.655080,951.989362,853.815508,1168.559543,696.230337
931.563830,920.232620,1156.244681,778.735294,802.202128,481.302139,1030.287234,154.991979,1057.521277,888.467914,1080.095960,739.569021
785.180851,926.008021,1077.946809,842.264706,805.606383,458.200535,1037.095745,129.002674,1142.627660,885.580214,971.217703,791.575441
655.819149,917.344920,955.393617,862.478610,791.989362,449.537433,1006.457447,111.676471,1224.329787,874.029412,838.522329,829.135634
553.691489,874.029412,849.861702,885.580214,795.393617,472.639037,982.627660,108.788770,1309.436170,879.804813,750.058745,837.803371
540.074468,876.917112,795.393617,888.467914,805.606383,455.312834,979.223404,134.778075,1394.542553,842.264706,736.448963,832.024880
584.329787,897.131016,853.265957,894.243316,815.819149,455.312834,979.223404,134.778075,1428.585106,781.622995,787.485646,840.692616
679.648936,920.232620,969.010638,902.906417,826.031915,484.189840,996.244681,169.430481,1408.159574,758.521390,882.754120,843.581862
778.372340,926.008021,1057.521277,891.355615,846.457447,513.066845,996.244681,169.430481,1258.372340,749.858289,971.217703,837.803371
883.904255,923.120321,1169.861702,885.580214,900.925532,527.505348,1030.287234,169.430481,1176.670213,764.296791,1076.693514,832.024880
972.414894,917.344920,1254.968085,874.029412,972.414894,539.056150,1037.095745,172.318182,1043.904255,807.612299,1151.547315,837.803371
1098.372340,920.232620,1329.861702,842.264706,1033.691489,539.056150,1057.521277,154.991979,883.904255,853.815508,1257.023126,820.467897
1190.287234,926.008021,1408.159574,824.938503,1111.989362,515.954545,1057.521277,131.890374,751.138298,824.938503,1308.059809,806.021669
1292.414894,928.895722,1472.840426,752.745989,1132.414894,484.189840,1043.904255,123.227273,638.797872,810.500000,1369.303828,771.350722
1404.755319,911.569519,1500.074468,680.553476,1135.819149,472.639037,1043.904255,123.227273,611.563830,798.949198,1420.340510,736.679775
1442.202128,865.366310,1500.074468,614.136364,1129.010638,495.740642,1013.265957,134.778075,618.372340,801.836898,1440.755183,690.451846
1503.478723,824.938503,1455.819149,579.483957,1057.521277,527.505348,1006.457447,140.553476,652.414894,842.264706,1416.938065,655.780899
1428.585106,813.387701,1394.542553,565.045455,1013.265957,547.719251,1023.478723,160.767380,744.329787,856.703209,1352.291600,644.223917
1319.648936,865.366310,1343.478723,596.810160,911.138298,539.056150,1030.287234,166.542781,856.670213,865.366310,1291.047581,655.780899
1156.244681,908.681818,1295.819149,671.890374,870.287234,527.505348,1016.670213,169.430481,928.159574,874.029412,1202.583998,690.451846
989.436170,934.671123,1210.712766,764.296791,815.819149,475.526738,1020.074468,163.655080,1047.308511,888.467914,1107.315524,756.904494
805.606383,949.109626,1094.968085,822.050802,802.202128,463.975936,1033.691489,149.216578,1139.223404,885.580214,991.632376,806.021669
655.819149,931.783422,979.223404,856.703209,805.606383,440.874332,989.436170,157.879679,1237.946809,885.580214,879.351675,834.914125
553.691489,888.467914,843.053191,900.018717,805.606383,443.762032,999.648936,152.104278,1316.244681,876.917112,777.278309,846.471108
529.861702,879.804813,785.180851,897.131016,809.010638,455.312834,996.244681,149.216578,1411.563830,850.927807,739.851409,849.360353
567.308511,902.906417,856.670213,905.794118,815.819149,463.975936,975.819149,152.104278,1428.585106,784.510695,773.875864,855.138844
645.606383,920.232620,955.393617,911.569519,812.414894,481.302139,996.244681,169.430481,1380.925532,764.296791,879.351675,849.360353
781.776596,928.895722,1050.712766,902.906417,860.074468,492.852941,1006.457447,169.430481,1285.606383,758.521390,964.412812,852.249599
860.074468,931.783422,1180.074468,879.804813,890.712766,521.729947,1023.478723,178.093583,1217.521277,755.633690,1069.888623,834.914125
972.414894,940.446524,1248.159574,891.355615,972.414894,533.280749,1043.904255,183.868984,1077.946809,793.173797,1161.754652,843.581862
1081.351064,928.895722,1340.074468,850.927807,1037.095745,530.393048,1060.925532,198.307487,907.734043,850.927807,1243.413344,823.357143
1193.691489,931.783422,1414.968085,822.050802,1101.776596,504.403743,1054.117021,146.328877,761.351064,830.713904,1311.462254,806.021669
1306.031915,937.558824,1459.223404,744.082888,1122.202128,489.965241,1050.712766,126.114973,638.797872,810.500000,1365.901382,777.129213
1414.968085,934.671123,1486.457447,694.991979,1118.797872,481.302139,1037.095745,103.013369,577.521277,793.173797,1413.535619,739.569021
1445.606383,888.467914,1479.648936,622.799465,1111.989362,484.189840,1020.074468,137.665775,577.521277,801.836898,1437.352738,702.008828
1483.053191,850.927807,1462.627660,593.922460,1060.925532,515.954545,1030.287234,157.879679,618.372340,856.703209,1427.145401,667.337881
1452.414894,819.163102,1404.755319,588.147059,1016.670213,539.056150,1016.670213,160.767380,689.861702,871.141711,1372.706273,650.002408
1346.882979,853.815508,1333.265957,602.585561,938.372340,556.382353,1016.670213,175.205882,771.563830,874.029412,1304.657363,655.780899
1193.691489,894.243316,1278.797872,631.462567,890.712766,536.168449,1023.478723,175.205882,887.308511,885.580214,1219.596225,684.673355
1020.074468,926.008021,1231.138298,706.542781,815.819149,498.628342,1016.670213,172.318182,1006.457447,897.131016,1114.120415,728.012039
829.436170,931.783422,1149.436170,807.612299,791.989362,466.863636,1016.670213,143.441176,1105.180851,882.692513,1008.644604,777.129213
689.861702,914.457219,1013.265957,848.040107,785.180851,452.425134,986.031915,140.553476,1200.500000,882.692513,903.168793,817.578652
584.329787,902.906417,860.074468,868.254011,788.585106,449.537433,972.414894,134.778075,1258.372340,882.692513,794.290537,834.914125
529.861702,874.029412,788.585106,888.467914,805.606383,449.537433,975.819149,131.890374,1326.457447,868.254011,733.046518,837.803371
536.670213,874.029412,809.010638,894.243316,805.606383,449.537433,969.010638,140.553476,1414.968085,801.836898,750.058745,843.581862
635.393617,923.120321,907.734043,888.467914,805.606383,466.863636,965.606383,143.441176,1411.563830,761.409091,824.912547,832.024880
717.095745,928.895722,1020.074468,891.355615,829.436170,489.965241,999.648936,169.430481,1350.287234,741.195187,923.583466,834.914125
829.436170,926.008021,1105.180851,882.692513,870.287234,513.066845,1006.457447,175.205882,1244.755319,749.858289,1018.851940,834.914125
917.946809,920.232620,1203.904255,874.029412,931.563830,541.943850,1057.521277,189.644385,1122.202128,787.398396,1124.327751,829.135634
1040.500000,917.344920,1299.223404,856.703209,1006.457447,547.719251,1054.117021,189.644385,979.223404,819.163102,1205.986443,826.246388
1146.031915,920.232620,1374.117021,822.050802,1081.351064,539.056150,1064.329787,154.991979,839.648936,839.377005,1287.645136,806.021669
1224.329787,928.895722,1421.776596,767.184492,1146.031915,513.066845,1088.159574,163.655080,730.712766,830.713904,1345.486709,785.796950
1333.265957,928.895722,1472.840426,715.205882,1146.031915,481.302139,1054.117021,134.778075,635.393617,801.836898,1399.925837,759.793740
1449.010638,905.794118,1510.287234,657.451872,1146.031915,475.526738,1037.095745,131.890374,587.734043,807.612299,1433.950292,716.455056
1469.436170,853.815508,1493.265957,605.473262,1108.585106,498.628342,1003.053191,140.553476,618.372340,842.264706,1444.157629,678.894864
1469.436170,816.275401,1431.989362,588.147059,1043.904255,521.729947,1006.457447,166.542781,706.882979,876.917112,1416.938065,655.780899
1411.563830,833.601604,1374.117021,596.810160,996.244681,556.382353,1009.861702,186.756684,812.414894,888.467914,1345.486709,652.891653
1265.180851,876.917112,1312.840426,617.024064,907.734043,544.831551,1026.882979,175.205882,907.734043,885.580214,1260.425572,667.337881
1108.585106,911.569519,1275.393617,692.104278,856.670213,515.954545,1020.074468,172.318182,975.819149,882.692513,1154.949761,722.233547
894.117021,931.783422,1180.074468,787.398396,815.819149,472.639037,1026.882979,163.655080,1081.351064,879.804813,1056.278841,774.239968
710.287234,931.783422,1040.500000,845.152406,798.797872,446.649733,1003.053191,137.665775,1210.712766,874.029412,923.583466,811.800161
574.117021,882.692513,894.117021,882.692513,774.968085,452.425134,996.244681,134.778075,1254.968085,868.254011,780.680755,834.914125
512.840426,853.815508,788.585106,905.794118,798.797872,452.425134,975.819149,123.227273,1367.308511,853.815508,722.839181,837.803371
512.840426,853.815508,761.351064,900.018717,795.393617,452.425134,979.223404,143.441176,1408.159574,827.826203,705.826954,840.692616
567.308511,905.794118,860.074468,905.794118,795.393617,469.751337,979.223404,160.767380,1397.946809,781.622995,784.083200,843.581862
666.031915,920.232620,951.989362,905.794118,819.223404,481.302139,1003.053191,154.991979,1367.308511,761.409091,872.546784,843.581862
774.968085,926.008021,1054.117021,897.131016,860.074468,513.066845,1009.861702,154.991979,1237.946809,767.184492,971.217703,837.803371
870.287234,926.008021,1159.648936,894.243316,877.095745,515.954545,1016.670213,166.542781,1125.606383,778.735294,1056.278841,837.803371
972.414894,920.232620,1275.393617,862.478610,951.989362,544.831551,1054.117021,175.205882,992.840426,830.713904,1161.754652,832.024880
1084.755319,928.895722,1340.074468,848.040107,1043.904255,544.831551,1067.734043,163.655080,832.840426,856.703209,1246.815789,820.467897
1183.478723,923.120321,1418.372340,813.387701,1098.372340,521.729947,1057.521277,123.227273,683.053191,816.275401,1318.267145,803.132424
1289.010638,931.783422,1442.202128,761.409091,1115.393617,478.414439,1047.308511,172.318182,587.734043,810.500000,1369.303828,782.907705
1394.542553,917.344920,1472.840426,680.553476,1108.585106,484.189840,999.648936,154.991979,546.882979,804.724599,1406.730728,745.347512
1459.223404,879.804813,1462.627660,617.024064,1077.946809,492.852941,999.648936,154.991979,550.287234,816.275401,1413.535619,707.787319
1472.840426,845.152406,1428.585106,596.810160,1037.095745,527.505348,996.244681,163.655080,618.372340,848.040107,1393.120946,676.005618
1428.585106,827.826203,1367.308511,596.810160,986.031915,562.157754,1013.265957,160.767380,717.095745,859.590909,1338.681818,655.780899
1316.244681,868.254011,1319.648936,614.136364,907.734043,553.494652,999.648936,172.318182,805.606383,882.692513,1250.218235,655.780899
1146.031915,905.794118,1282.202128,660.339572,826.031915,536.168449,999.648936,169.430481,904.329787,885.580214,1182.169325,687.562600
969.010638,931.783422,1190.287234,746.970588,788.585106,475.526738,1013.265957,143.441176,1026.882979,888.467914,1086.900851,730.901284
785.180851,949.109626,1074.542553,813.387701,778.372340,452.425134,992.840426,152.104278,1101.776596,891.355615,954.205476,797.353933
655.819149,937.558824,945.180851,856.703209,768.159574,432.211230,965.606383,117.451872,1183.478723,894.243316,838.522329,832.024880
553.691489,902.906417,839.648936,876.917112,781.776596,452.425134,982.627660,85.687166,1275.393617,876.917112,736.448963,832.024880
519.648936,868.254011,761.351064,876.917112,788.585106,452.425134,989.436170,100.125668,1353.691489,859.590909,719.436736,834.914125
533.265957,882.692513,815.819149,894.243316,788.585106,466.863636,972.414894,111.676471,1401.351064,796.061497,746.656300,843.581862
628.585106,914.457219,931.563830,897.131016,798.797872,475.526738,979.223404,120.339572,1401.351064,752.745989,831.717438,840.692616
737.521277,905.794118,1020.074468,905.794118,843.053191,501.516043,992.840426,129.002674,1312.840426,744.082888,926.985912,832.024880
815.819149,914.457219,1091.563830,894.243316,880.500000,524.617647,1020.074468,134.778075,1203.904255,755.633690,1032.461722,832.024880
941.776596,928.895722,1197.095745,891.355615,921.351064,524.617647,1013.265957,140.553476,1115.393617,784.510695,1124.327751,834.914125
1030.287234,917.344920,1306.031915,865.366310,1020.074468,559.270053,1050.712766,154.991979,938.372340,830.713904,1209.388889,820.467897
1142.627660,926.008021,1387.734043,807.612299,1074.542553,544.831551,1023.478723,134.778075,805.606383,845.152406,1297.852472,803.132424
1254.968085,931.783422,1431.989362,761.409091,1118.797872,489.965241,1030.287234,123.227273,669.436170,824.938503,1342.084264,780.018459
1380.925532,923.120321,1455.819149,694.991979,1142.627660,478.414439,1016.670213,129.002674,601.351064,816.275401,1396.523392,742.458266
1425.180851,882.692513,1486.457447,643.013369,1132.414894,487.077540,1003.053191,131.890374,584.329787,801.836898,1427.145401,699.119583
1462.627660,830.713904,1445.606383,602.585561,1067.734043,518.842246,996.244681,126.114973,621.776596,848.040107,1416.938065,673.116372
1466.031915,810.500000,1397.946809,579.483957,1013.265957,539.056150,1013.265957,160.767380,700.074468,865.366310,1365.901382,650.002408
1360.500000,822.050802,1350.287234,585.259358,934.968085,556.382353,1033.691489,204.082888,778.372340,879.804813,1297.852472,644.223917
1244.755319,874.029412,1265.180851,614.136364,863.478723,547.719251,1030.287234,169.430481,890.712766,871.141711,1222.998671,667.337881
1074.542553,914.457219,1214.117021,683.441176,815.819149,501.516043,1047.308511,175.205882,992.840426,888.467914,1117.522860,719.344302
